id,title,body,category,priority
0,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
1,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
2,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
3,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
4,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
5,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
6,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
7,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
8,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
9,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
10,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
11,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
12,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
13,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
14,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
15,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
16,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
17,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
18,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
19,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
20,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
21,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
22,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
23,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
24,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
25,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
26,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
27,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
28,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
29,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
30,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
31,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
32,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
33,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
34,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
35,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
36,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
37,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
38,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
39,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
40,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
41,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
42,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
43,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
44,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
45,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
46,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
47,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
48,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
49,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
50,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
51,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
52,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
53,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
54,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
55,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
56,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
57,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
58,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
59,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
60,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
61,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
62,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
63,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
64,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
65,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
66,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
67,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
68,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
69,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
70,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
71,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
72,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
73,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
74,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
75,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
76,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
77,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
78,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
79,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
80,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
81,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
82,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
83,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
84,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
85,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
86,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
87,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
88,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
89,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
90,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
91,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
92,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
93,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
94,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
95,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
96,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
97,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
98,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
99,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
100,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
101,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
102,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
103,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
104,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
105,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
106,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
107,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
108,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
109,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
110,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
111,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
112,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
113,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
114,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
115,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
116,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
117,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
118,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
119,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
120,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
121,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
122,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
123,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
124,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
125,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
126,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
127,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
128,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
129,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
130,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
131,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
132,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
133,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
134,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
135,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
136,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
137,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
138,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
139,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
140,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
141,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
142,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
143,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
144,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
145,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
146,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
147,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
148,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
149,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
150,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
151,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
152,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
153,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
154,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
155,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
156,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
157,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
158,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
159,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
160,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
161,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
162,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
163,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
164,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
165,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
166,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
167,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
168,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
169,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
170,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
171,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
172,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
173,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
174,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
175,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
176,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
177,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
178,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
179,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
180,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
181,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
182,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
183,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
184,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
185,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
186,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
187,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
188,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
189,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
190,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
191,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
192,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
193,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
194,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
195,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
196,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
197,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
198,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
199,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
200,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
201,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
202,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
203,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
204,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
205,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
206,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
207,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
208,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
209,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
210,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
211,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
212,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
213,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
214,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
215,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
216,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
217,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
218,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
219,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
220,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
221,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
222,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
223,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
224,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
225,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
226,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
227,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
228,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
229,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
230,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
231,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
232,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
233,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
234,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
235,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
236,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
237,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
238,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
239,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
240,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
241,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
242,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
243,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
244,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
245,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
246,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
247,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
248,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
249,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
250,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
251,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
252,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
253,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
254,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
255,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
256,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
257,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
258,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
259,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
260,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
261,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
262,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
263,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
264,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
265,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
266,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
267,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
268,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
269,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
270,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
271,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
272,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
273,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
274,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
275,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
276,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
277,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
278,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
279,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
280,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
281,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
282,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
283,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
284,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
285,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
286,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
287,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
288,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
289,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
290,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
291,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
292,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
293,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
294,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
295,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
296,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
297,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
298,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
299,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
